Spanish,Word Type,Gender,Italian,German,English
el perro,noun,masculine,cane,der Hund,dog
la mujer,noun,feminine,donna,die Frau,woman
el chico,noun,masculine,ragazzo,der Junge,boy / guy
la chica,noun,feminine,ragazza,das Mädchen,girl
el niño,noun,masculine,bambino,das Kind / der Junge,child / boy
la niña,noun,feminine,bambina,das Kind / das Mädchen,child / girl
la espalda,noun,feminine,schiena,der Rücken,back (anatomy)
el hombro,noun,masculine,spalla,die Schulter,shoulder
la rodilla,noun,feminine,ginocchio,das Knie,knee
el tobillo,noun,masculine,caviglia,der Knöchel,ankle
la muñeca,noun,feminine,polso,das Handgelenk,wrist
la barbilla,noun,feminine,mento,das Kinn,chin
la mejilla,noun,feminine,guancia,die Wange,cheek
la ceja,noun,feminine,sopracciglio,die Augenbraue,eyebrow
la pestaña,noun,feminine,ciglia,die Wimper,eyelash
el pájaro,noun,masculine,uccello,der Vogel,bird
el ratón,noun,masculine,topo,die Maus,mouse
el zorro,noun,masculine,volpe,der Fuchs,fox
la mariposa,noun,feminine,farfalla,der Schmetterling,butterfly
el coche,noun,masculine,macchina,das Auto / der Wagen,car
la mesa,noun,feminine,tavolo,der Tisch,table
la cama,noun,feminine,letto,das Bett,bed
la silla,noun,feminine,sedia,der Stuhl,chair
la ventana,noun,feminine,finestra,das Fenster,window
el techo,noun,masculine,soffitto,die Decke (Zimmerdecke),ceiling
el suelo,noun,masculine,pavimento,der Boden / der Fußboden,floor / ground
la pared,noun,feminine,muro,die Wand,wall
la tienda,noun,feminine,negozio,der Laden / das Geschäft,shop / store
el barrio,noun,masculine,quartiere,das Stadtviertel / das Viertel,neighborhood / district
la acera,noun,feminine,marciapiede,der Gehweg / der Bürgersteig,sidewalk / pavement
la esquina,noun,feminine,angolo,die Straßenecke,street corner
el rincón,noun,masculine,angolo,die Innenecke / der Winkel,corner (interior)
el bolsillo,noun,masculine,tasca,die Tasche (Hosentasche),pocket
la falda,noun,feminine,gonna,der Rock,skirt
el sombrero,noun,masculine,cappello,der Hut,hat
el abrigo,noun,masculine,cappotto,der Mantel,coat / overcoat
los zapatos,noun,masculine (plural),scarpe,die Schuhe,shoes
las gafas,noun,feminine (plural),occhiali,die Brille,glasses / spectacles
la toalla,noun,feminine,asciugamano,das Handtuch,towel
el paraguas,noun,masculine,ombrello,der Regenschirm,umbrella
el vaso,noun,masculine,bicchiere,das Trinkglas,drinking glass
el tenedor,noun,masculine,forchetta,die Gabel,fork
la cuchara,noun,feminine,cucchiaio,der Löffel,spoon
